electrode_name	electrode_type	session_name	loc_x	loc_y	loc_z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
8	EEG	TMS_V2	-5.157	19.021	108.654	-0.617	0.743	-0.261	-0.779	-0.624	0.065	-0.114	0.243	0.963
12	EEG	TMS_V2	-9.844	-13.714	109.163	-0.265	0.964	0.029	-0.964	-0.265	-0.001	0.007	-0.028	1.000
12	EEG	TMS_V2	-7.969	-43.714	99.887	-0.132	0.765	0.630	-0.991	-0.120	-0.063	0.027	-0.632	0.774
1	EEG	TMS_V2	-22.032	102.357	28.654	-0.828	-0.289	-0.480	-0.370	-0.360	0.856	-0.420	0.887	0.191
2	EEG	TMS_V2	-24.844	86.247	57.654	-0.512	0.318	-0.798	-0.765	-0.591	0.256	-0.390	0.741	0.546
3	EEG	TMS_V2	-39.844	62.260	71.654	-0.616	0.239	-0.751	-0.526	-0.834	0.166	-0.586	0.497	0.639
7	EEG	TMS_V2	-49.550	43.474	77.654	-0.259	0.608	-0.750	-0.732	-0.631	-0.258	-0.630	0.482	0.608
8	EEG	TMS_V2	-54.844	16.286	89.386	-0.767	0.050	-0.639	-0.208	-0.963	0.173	-0.607	0.266	0.749
11	EEG	TMS_V2	-57.571	-12.776	91.654	-0.591	-0.553	-0.588	0.478	-0.827	0.297	-0.650	-0.106	0.753
14	EEG	TMS_V2	-52.032	-44.076	80.654	-0.789	0.410	-0.458	0.043	-0.707	-0.706	-0.613	-0.576	0.540
15	EEG	TMS_V2	-26.719	-66.634	66.654	0.455	0.221	0.863	-0.871	0.313	0.379	-0.186	-0.924	0.335
16	EEG	TMS_V2	-22.032	-74.969	41.654	0.838	-0.104	0.535	-0.529	0.080	0.845	-0.131	-0.991	0.012
1	EEG	TMS_V2	-49.219	83.786	31.279	-0.595	-0.274	-0.755	-0.441	-0.674	0.592	-0.671	0.686	0.281
5	EEG	TMS_V2	-55.782	65.036	50.577	-0.685	-0.320	-0.655	-0.212	-0.772	0.599	-0.697	0.549	0.461
6	EEG	TMS_V2	-69.071	40.661	57.654	-0.660	-0.461	-0.593	-0.065	-0.752	0.656	-0.748	0.471	0.466
9	EEG	TMS_V2	-78.282	13.474	60.225	-0.399	-0.214	-0.892	-0.037	-0.968	0.249	-0.916	0.133	0.378
11	EEG	TMS_V2	-76.013	-14.651	60.654	-0.288	0.476	-0.831	0.096	-0.849	-0.520	-0.953	-0.229	0.199
13	EEG	TMS_V2	-64.938	-41.839	60.654	0.327	-0.733	-0.596	0.489	-0.409	0.771	-0.809	-0.543	0.225
4	EEG	TMS_V2	-65.503	65.036	24.654	-0.372	-0.469	-0.801	-0.366	-0.718	0.591	-0.853	0.514	0.096
6	EEG	TMS_V2	-77.663	38.786	31.654	-0.230	-0.418	-0.879	-0.250	-0.847	0.468	-0.940	0.328	0.091
5	EEG	TMS_V2	-77.038	30.349	-3.346	0.008	-0.871	-0.491	-0.174	-0.485	0.857	-0.985	0.078	-0.156
9	EEG	TMS_V2	-84.323	10.661	32.654	-0.040	-0.681	-0.732	0.020	-0.733	0.680	-0.999	0.012	0.043
10	EEG	TMS_V2	-79.575	-14.651	35.654	0.280	-0.907	-0.315	0.218	-0.260	0.941	-0.935	-0.332	0.125
